RoomCd|RoomType|RoomCharacteristic|minPax|maxPax|maxAdults|maxChildren|minAdults|Description__ENG|TypeDescription__ENG|CharacteristicDescription__ENG|Description__IND|TypeDescription__IND|CharacteristicDescription__IND
ROO.PE-VM|ROO|PE-VM|1|2|2|1|1|Room PREMIER SEA VIEW|Room|PREMIER SEA VIEW|Kamar PREMIER PEMANDANGAN LAUT|Kamar|PREMIER PEMANDANGAN LAUT
ROO.PI|ROO|PI|1|2|2|1|1|Room PREMIUM|Room|PREMIUM|Kamar PREMIUM|Kamar|PREMIUM
ROO.PI-VM|ROO|PI-VM|1|2|2|1|1|Room PREMIUM SEA VIEW|Room|PREMIUM SEA VIEW|Kamar PREMIUM PEMANDANGAN LAUT|Kamar|PREMIUM PEMANDANGAN LAUT
ROO.PO|ROO|PO|1|2|2|1|1|Room PARTIAL OCEAN VIEW|Room|PARTIAL OCEAN VIEW|Kamar PEMANDANGAN SAMUDRA SEBAGIAN|Kamar|PEMANDANGAN SAMUDRA SEBAGIAN
ROO.PO-3|ROO|PO-3|1|3|2|2|1|Room PARTIAL OCEAN VIEW|Room|PARTIAL OCEAN VIEW|Kamar PEMANDANGAN SAMUDRA SEBAGIAN|Kamar|PEMANDANGAN SAMUDRA SEBAGIAN
ROO.PP|ROO|PP|1|2|2|1|1|Room WITH PRIVATE POOL|Room|WITH PRIVATE POOL|Kamar DENGAN KOLAM RENANG PRIBADI|Kamar|DENGAN KOLAM RENANG PRIBADI
ROO.PS|ROO|PS|1|2|2|1|1|Room PARTIAL SEA VIEW|Room|PARTIAL SEA VIEW|Kamar PEMANDANGAN PARSIAL LAUT|Kamar|PEMANDANGAN PARSIAL LAUT
ROO.PV|ROO|PV|1|2|2|1|1|Room PARK VIEW|Room|PARK VIEW|Kamar PEMANDANGAN TAMAN|Kamar|PEMANDANGAN TAMAN
ROO.RE|ROO|RE|1|2|2|1|1|Room RESORT VIEW|Room|RESORT VIEW|Kamar PEMANDANGAN RESOR|Kamar|PEMANDANGAN RESOR
ROO.RV|ROO|RV|1|2|2|1|1|Room RIVER VIEW|Room|RIVER VIEW|Kamar PEMANDANGAN SUNGAI|Kamar|PEMANDANGAN SUNGAI
ROO.RV-SU|ROO|RV-SU|1|2|2|1|1|Room SUPERIOR RIVER VIEW|Room|SUPERIOR RIVER VIEW|Kamar SUPERIOR PEMANDANGAN SUNGAI|Kamar|SUPERIOR PEMANDANGAN SUNGAI
ROO.SS|ROO|SS|1|2|2|1|1|Room SIDE SEA VIEW|Room|SIDE SEA VIEW|Kamar PEMANDANGAN TEPI LAUT|Kamar|PEMANDANGAN TEPI LAUT
ROO.ST|ROO|ST|0|2|2|1|1|Room STANDARD|Room|STANDARD|Kamar STANDAR|Kamar|STANDAR
ROO.SU|ROO|SU|0|4|2|1|1|Room SUPERIOR|Room|SUPERIOR|Kamar SUPERIOR|Kamar|SUPERIOR
ROO.SU-2|ROO|SU-2|1|2|2|1|1|Room SUPERIOR|Room|SUPERIOR|Kamar SUPERIOR|Kamar|SUPERIOR
ROO.SU-VM|ROO|SU-VM|1|2|2|1|1|Room SUPERIOR SEA VIEW|Room|SUPERIOR SEA VIEW|Kamar SUPERIOR PEMANDANGAN LAUT|Kamar|SUPERIOR PEMANDANGAN LAUT
ROO.SU-VN|ROO|SU-VN|1|2|2|1|1|Room SUPERIOR MOUNTAIN VIEW|Room|SUPERIOR MOUNTAIN VIEW|Kamar SUPERIOR PEMANDANGAN PEGUNUNGAN|Kamar|SUPERIOR PEMANDANGAN PEGUNUNGAN
ROO.SU-VP|ROO|SU-VP|1|2|2|1|1|Room SUPERIOR POOL VIEW|Room|SUPERIOR POOL VIEW|Kamar SUPERIOR PEMANDANGAN KOLAM RENANG|Kamar|SUPERIOR PEMANDANGAN KOLAM RENANG
ROO.SU-WV|ROO|SU-WV|1|2|2|1|1|Room SUPERIOR WITH VIEWS|Room|SUPERIOR WITH VIEWS|Kamar SUPERIOR DENGAN PEMANDANGAN|Kamar|SUPERIOR DENGAN PEMANDANGAN
ROO.TR|ROO|TR|1|5|4|4|1|Room WITH TERRACE|Room|WITH TERRACE|Kamar DENGAN TERAS|Kamar|DENGAN TERAS
ROO.VG|ROO|VG|1|2|2|1|1|Room GOLF VIEW|Room|GOLF VIEW|Kamar PEMANDANGAN GOLF|Kamar|PEMANDANGAN GOLF
ROO.VL|ROO|VL|1|2|2|1|1|Room LAGOON VIEW|Room|LAGOON VIEW|Kamar PEMANDANGAN LAGUNA|Kamar|PEMANDANGAN LAGUNA
ROO.VM|ROO|VM|0|5|4|4|1|Room SEA VIEW|Room|SEA VIEW|Kamar PEMANDANGAN LAUT|Kamar|PEMANDANGAN LAUT
ROO.VN|ROO|VN|1|2|2|1|1|Room MOUNTAIN VIEW|Room|MOUNTAIN VIEW|Kamar PEMANDANGAN PEGUNUNGAN|Kamar|PEMANDANGAN PEGUNUNGAN
ROO.VP|ROO|VP|1|2|2|1|1|Room POOL VIEW|Room|POOL VIEW|Kamar PEMANDANGAN KOLAM RENANG|Kamar|PEMANDANGAN KOLAM RENANG
ROO.WV|ROO|WV|1|2|2|1|1|Room WITH VIEWS|Room|WITH VIEWS|Kamar DENGAN PEMANDANGAN|Kamar|DENGAN PEMANDANGAN
SGL.1B|SGL|1B|0|1|1|3|1|SINGLE ONE BED|SINGLE|ONE BED|SINGLE SATU RANJANG|SINGLE|SATU RANJANG
SGL.1B-1|SGL|1B-1|1|1|1|1|1|SINGLE ONE BED|SINGLE|ONE BED|SINGLE SATU RANJANG|SINGLE|SATU RANJANG
SGL.1B-DX|SGL|1B-DX|0|1|1|0|1|SINGLE DELUXE ONE BED|SINGLE|DELUXE ONE BED|SINGLE DELUKS SATU RANJANG|SINGLE|DELUKS SATU RANJANG
SGL.1W-B1|SGL|1W-B1|0|1|1|0|1|SINGLE ONE BEDROOM ONE BATHROOM|SINGLE|ONE BEDROOM ONE BATHROOM|SINGLE SATU KAMAR TIDUR SATU KAMAR MANDI|SINGLE|SATU KAMAR TIDUR SATU KAMAR MANDI
SGL.1W-B2|SGL|1W-B2|0|1|1|0|1|SINGLE TWO BEDROOMS ONE BATHROOM|SINGLE|TWO BEDROOMS ONE BATHROOM|SINGLE DUA KAMAR TIDUR SATU KAMAR MANDI|SINGLE|DUA KAMAR TIDUR SATU KAMAR MANDI
SGL.2B|SGL|2B|0|1|1|2|1|SINGLE TWO BEDS|SINGLE|TWO BEDS|SINGLE DUA RANJANG|SINGLE|DUA RANJANG
SGL.2B-1|SGL|2B-1|1|1|1|1|1|SINGLE TWO BEDS|SINGLE|TWO BEDS|SINGLE DUA RANJANG|SINGLE|DUA RANJANG
SGL.2B-2|SGL|2B-2|1|1|1|0|1|SINGLE TWO BEDS|SINGLE|TWO BEDS|SINGLE DUA RANJANG|SINGLE|DUA RANJANG
SGL.2B-CV|SGL|2B-CV|0|1|1|0|1|SINGLE CITY VIEW TWO BEDS|SINGLE|CITY VIEW TWO BEDS|SINGLE PEMANDANGAN KOTA DUA BEDS|SINGLE|PEMANDANGAN KOTA DUA BEDS
SGL.2B-DX|SGL|2B-DX|0|1|1|0|1|SINGLE DELUXE TWO BEDS|SINGLE|DELUXE TWO BEDS|SINGLE DELUKS DUA RANJANG|SINGLE|DELUKS DUA RANJANG
SGL.2D|SGL|2D|0|1|1|0|1|SINGLE TWO DOUBLE BEDS|SINGLE|TWO DOUBLE BEDS|SINGLE DUA RANJANG DOUBLE|SINGLE|DUA RANJANG DOUBLE
SGL.2D-1|SGL|2D-1|1|1|1|2|1|SINGLE TWO DOUBLE BEDS|SINGLE|TWO DOUBLE BEDS|SINGLE DUA RANJANG DOUBLE|SINGLE|DUA RANJANG DOUBLE
SGL.2D-AS|SGL|2D-AS|0|1|1|0|1|SINGLE CLASSIC TWO DOUBLE BEDS|SINGLE|CLASSIC TWO DOUBLE BEDS|SINGLE KLASIK DUA RANJANG DOUBLE|SINGLE|KLASIK DUA RANJANG DOUBLE
SGL.2D-CV|SGL|2D-CV|0|1|1|0|1|SINGLE CITY VIEW TWO DOUBLE BEDS|SINGLE|CITY VIEW TWO DOUBLE BEDS|SINGLE PEMANDANGAN KOTA DUA RANJANG DOUBLE|SINGLE|PEMANDANGAN KOTA DUA RANJANG DOUBLE
SGL.2D-DX|SGL|2D-DX|0|1|1|0|1|SINGLE DELUXE TWO DOUBLE BEDS|SINGLE|DELUXE TWO DOUBLE BEDS|SINGLE DELUKS DUA RANJANG DOUBLE|SINGLE|DELUKS DUA RANJANG DOUBLE
SGL.2D-EJ|SGL|2D-EJ|0|1|1|0|1|SINGLE EXECUTIVE 2 DOUBLE BEDS|SINGLE|EXECUTIVE 2 DOUBLE BEDS|SINGLE EKSEKUTIF 2 RANJANG DOUBLE|SINGLE|EKSEKUTIF 2 RANJANG DOUBLE
SGL.2D-NM|SGL|2D-NM|0|1|1|0|1|SINGLE TWO DOUBLE BEDS NON SMOKING|SINGLE|TWO DOUBLE BEDS NON SMOKING|SINGLE DUA RANJANG DOUBLE BEBAS-ROKOK|SINGLE|DUA RANJANG DOUBLE BEBAS-ROKOK
SGL.2D-OF|SGL|2D-OF|0|1|1|0|1|SINGLE OCEAN FRONT TWO DOUBLE BEDS|SINGLE|OCEAN FRONT TWO DOUBLE BEDS|SINGLE DEPAN SAMUDRA DUA RANJANG DOUBLE|SINGLE|DEPAN SAMUDRA DUA RANJANG DOUBLE
SGL.2D-OV|SGL|2D-OV|0|1|1|0|1|SINGLE OCEAN VIEW TWO DOUBLE BEDS|SINGLE|OCEAN VIEW TWO DOUBLE BEDS|SINGLE PEMANDANGAN SAMUDRA DUA RANJANG DOUBLE|SINGLE|PEMANDANGAN SAMUDRA DUA RANJANG DOUBLE
SGL.2D-PO|SGL|2D-PO|0|1|1|0|1|SINGLE PARTIAL OCEAN VIEW TWO DOUBLE BEDS|SINGLE|PARTIAL OCEAN VIEW TWO DOUBLE BEDS|SINGLE PEMANDANGAN PARSIAL SAMUDRA DUA RANJANG DOUBLE|SINGLE|PEMANDANGAN PARSIAL SAMUDRA DUA RANJANG DOUBLE
SGL.2D-SU|SGL|2D-SU|0|1|1|0|1|SINGLE SUPERIOR TWO DOUBLE BEDS|SINGLE|SUPERIOR TWO DOUBLE BEDS|SINGLE SUPERIOR DUA RANJANG DOUBLE|SINGLE|SUPERIOR DUA RANJANG DOUBLE
SGL.2D-VP|SGL|2D-VP|0|1|1|0|1|SINGLE POOL VIEW TWO DOUBLE BEDS|SINGLE|POOL VIEW TWO DOUBLE BEDS|SINGLE PEMANDANGAN KOLAM RENANG DUA RANJANG DOUBLE|SINGLE|PEMANDANGAN KOLAM RENANG DUA RANJANG DOUBLE
SGL.2K|SGL|2K|0|1|1|0|1|SINGLE TWO KING BEDS|SINGLE|TWO KING BEDS|SINGLE DUA RANJANG KING|SINGLE|DUA RANJANG KING
SGL.2K-1|SGL|2K-1|1|1|1|0|1|SINGLE TWO KING BEDS|SINGLE|TWO KING BEDS|SINGLE DUA RANJANG KING|SINGLE|DUA RANJANG KING
SGL.2Q|SGL|2Q|0|1|1|3|1|SINGLE TWO QUEEN BEDS|SINGLE|TWO QUEEN BEDS|SINGLE DUA RANJANG QUEEN|SINGLE|DUA RANJANG QUEEN
SGL.2Q-AS|SGL|2Q-AS|0|1|1|0|1|SINGLE CLASSIC TWO QUEEN BEDS|SINGLE|CLASSIC TWO QUEEN BEDS|SINGLE KLASIK DUA RANJANG QUEEN|SINGLE|KLASIK DUA RANJANG QUEEN
SGL.2Q-CV|SGL|2Q-CV|0|1|1|0|1|SINGLE CITY VIEW TWO QUEEN BEDS|SINGLE|CITY VIEW TWO QUEEN BEDS|SINGLE PEMANDANGAN KOTA DUA RANJANG QUEEN|SINGLE|PEMANDANGAN KOTA DUA RANJANG QUEEN
SGL.2Q-DX|SGL|2Q-DX|0|1|1|0|1|SINGLE DELUXE TWO QUEEN BEDS|SINGLE|DELUXE TWO QUEEN BEDS|SINGLE DELUKS DUA RANJANG QUEEN|SINGLE|DELUKS DUA RANJANG QUEEN
SGL.2Q-EJ|SGL|2Q-EJ|0|1|1|0|1|SINGLE EXECUTIVE TWO QUEEN BEDS|SINGLE|EXECUTIVE TWO QUEEN BEDS|SINGLE EKSEKUTIF DUA RANJANG QUEEN|SINGLE|EKSEKUTIF DUA RANJANG QUEEN
SGL.2Q-GV|SGL|2Q-GV|0|1|1|0|1|SINGLE GARDEN VIEW TWO QUEEN BEDS|SINGLE|GARDEN VIEW TWO QUEEN BEDS|SINGLE PEMANDANGAN KEBUN DUA RANJANG QUEEN|SINGLE|PEMANDANGAN KEBUN DUA RANJANG QUEEN
SGL.2Q-OV|SGL|2Q-OV|0|1|1|0|1|SINGLE OCEAN VIEW TWO QUEEN BEDS|SINGLE|OCEAN VIEW TWO QUEEN BEDS|SINGLE PEMANDANGAN SAMUDRA DUA RANJANG QUEEN|SINGLE|PEMANDANGAN SAMUDRA DUA RANJANG QUEEN
SGL.2W-B1|SGL|2W-B1|0|1|1|0|1|SINGLE ONE BEDROOM TWO BATHROOMS|SINGLE|ONE BEDROOM TWO BATHROOMS|SINGLE SATU KAMAR TIDUR DUA KAMAR MANDI|SINGLE|SATU KAMAR TIDUR DUA KAMAR MANDI
SGL.2W-B2|SGL|2W-B2|0|1|1|0|1|SINGLE TWO BEDROOMS TWO BATHROOMS|SINGLE|TWO BEDROOMS TWO BATHROOMS|SINGLE DUA KAMAR TIDUR DUA KAMAR MANDI|SINGLE|DUA KAMAR TIDUR DUA KAMAR MANDI
SGL.2W-B3|SGL|2W-B3|1|1|1|0|1|SINGLE THREE BEDROOMS TWO BATHROOMS|SINGLE|THREE BEDROOMS TWO BATHROOMS|SINGLE TIGA KAMAR TIDUR DUA KAMAR MANDI|SINGLE|TIGA KAMAR TIDUR DUA KAMAR MANDI
SGL.2W-B4|SGL|2W-B4|0|1|1|0|1|SINGLE FOUR BEDROOMS TWO BATHROOMS|SINGLE|FOUR BEDROOMS TWO BATHROOMS|SINGLE EMPAT KAMAR TIDUR DUA KAMAR MANDI|SINGLE|EMPAT KAMAR TIDUR DUA KAMAR MANDI
SGL.3B|SGL|3B|0|1|1|3|1|SINGLE THREE BEDS|SINGLE|THREE BEDS|SINGLE TIGA RANJANG|SINGLE|TIGA RANJANG
SGL.3W-B3|SGL|3W-B3|0|1|1|0|1|SINGLE THREE BEDROOMS THREE BATHROOMS|SINGLE|THREE BEDROOMS THREE BATHROOMS|SINGLE TIGA KAMAR TIDUR TIGA KAMAR MANDI|SINGLE|TIGA KAMAR TIDUR TIGA KAMAR MANDI
SGL.AC|SGL|AC|1|1|1|1|1|SINGLE WITH AIR CONDITIONING|SINGLE|WITH AIR CONDITIONING|SINGLE DENGAN AC|SINGLE|DENGAN AC
SGL.AC-1|SGL|AC-1|1|1|1|0|1|SINGLE WITH AIR CONDITIONING|SINGLE|WITH AIR CONDITIONING|SINGLE DENGAN AC|SINGLE|DENGAN AC
SGL.AC-DX|SGL|AC-DX|1|1|1|0|1|SINGLE DELUXE WITH AIR CONDITIONING|SINGLE|DELUXE WITH AIR CONDITIONING|SINGLE DELUKS DENGAN AC|SINGLE|DELUKS DENGAN AC
SGL.AC-SU|SGL|AC-SU|1|1|1|0|1|SINGLE SUPERIOR WITH AIR CONDITIONING|SINGLE|SUPERIOR WITH AIR CONDITIONING|SINGLE SUPERIOR DENGAN AC|SINGLE|SUPERIOR DENGAN AC
SGL.AS|SGL|AS|0|1|1|3|1|SINGLE CLASSIC|SINGLE|CLASSIC|SINGLE KLASIK|SINGLE|KLASIK
SGL.AS-1|SGL|AS-1|1|1|1|1|1|SINGLE CLASSIC|SINGLE|CLASSIC|SINGLE KLASIK|SINGLE|KLASIK
SGL.AS-5|SGL|AS-5|1|1|1|0|1|SINGLE CLASSIC|SINGLE|CLASSIC|SINGLE KLASIK|SINGLE|KLASIK
SGL.AS-B1|SGL|AS-B1|1|1|1|0|1|SINGLE CLASSIC ONE BEDROOM|SINGLE|CLASSIC ONE BEDROOM|SINGLE KLASIK SATU KAMAR TIDUR|SINGLE|KLASIK SATU KAMAR TIDUR
SGL.AS-BL|SGL|AS-BL|1|1|1|0|1|SINGLE CLASSIC WITH BALCONY|SINGLE|CLASSIC WITH BALCONY|SINGLE KLASIK DENGAN BALKON|SINGLE|KLASIK DENGAN BALKON
SGL.AS-CV|SGL|AS-CV|1|1|1|0|1|SINGLE CLASSIC CITY VIEW|SINGLE|CLASSIC CITY VIEW|SINGLE KLASIK PEMANDANGAN KOTA|SINGLE|KLASIK PEMANDANGAN KOTA
SGL.AS-DB|SGL|AS-DB|1|1|1|0|1|SINGLE CLASSIC DOUBLE BED|SINGLE|CLASSIC DOUBLE BED|SINGLE KLASIK RANJANG DOUBLE|SINGLE|KLASIK RANJANG DOUBLE
SGL.AS-DX|SGL|AS-DX|0|1|1|0|1|SINGLE CLASSIC DELUXE|SINGLE|CLASSIC DELUXE|SINGLE KLASIK DELUKS|SINGLE|KLASIK DELUKS
SGL.AS-GV|SGL|AS-GV|1|1|1|0|1|SINGLE CLASSIC GARDEN VIEW|SINGLE|CLASSIC GARDEN VIEW|SINGLE KLASIK PEMANDANGAN KEBUN|SINGLE|KLASIK PEMANDANGAN KEBUN
SGL.AS-KG|SGL|AS-KG|0|1|1|1|1|SINGLE CLASSIC KING BED|SINGLE|CLASSIC KING BED|SINGLE KLASIK RANJANG KING|SINGLE|KLASIK RANJANG KING
SGL.AS-LV|SGL|AS-LV|1|1|1|0|1|SINGLE CLASSIC LAND VIEW|SINGLE|CLASSIC LAND VIEW|SINGLE KLASIK PEMANDANGAN DATARAN|SINGLE|KLASIK PEMANDANGAN DATARAN
SGL.AS-PV|SGL|AS-PV|1|1|1|0|1|SINGLE CLASSIC PARK VIEW|SINGLE|CLASSIC PARK VIEW|SINGLE KLASIK PEMANDANGAN TAMAN|SINGLE|KLASIK PEMANDANGAN TAMAN
SGL.AS-QN|SGL|AS-QN|0|1|1|1|1|SINGLE CLASSIC QUEEN BED|SINGLE|CLASSIC QUEEN BED|SINGLE KLASIK RANJANG QUEEN|SINGLE|KLASIK RANJANG QUEEN
SGL.AS-RE|SGL|AS-RE|1|1|1|0|1|SINGLE CLASSIC RESORT VIEW|SINGLE|CLASSIC RESORT VIEW|SINGLE KLASIK PEMANDANGAN RESOR|SINGLE|KLASIK PEMANDANGAN RESOR
SGL.AS-VM|SGL|AS-VM|1|1|1|0|1|SINGLE CLASSIC SEA VIEW|SINGLE|CLASSIC SEA VIEW|SINGLE KLASIK PEMANDANGAN LAUT|SINGLE|KLASIK PEMANDANGAN LAUT
SGL.AS-VP|SGL|AS-VP|1|1|1|0|1|SINGLE CLASSIC POOL VIEW|SINGLE|CLASSIC POOL VIEW|SINGLE KLASIK PEMANDANGAN KOLAM RENANG|SINGLE|KLASIK PEMANDANGAN KOLAM RENANG
SGL.AX|SGL|AX|0|1|1|0|1|SINGLE ANNEX|SINGLE|ANNEX|SINGLE PAVILIUN|SINGLE|PAVILIUN
SGL.AX-1|SGL|AX-1|1|1|1|0|1|SINGLE ANNEX|SINGLE|ANNEX|SINGLE PAVILIUN|SINGLE|PAVILIUN
SGL.B1|SGL|B1|0|1|1|2|1|SINGLE ONE BEDROOM|SINGLE|ONE BEDROOM|SINGLE SATU KAMAR|SINGLE|SATU KAMAR
SGL.B1-1|SGL|B1-1|1|1|1|0|1|SINGLE ONE BEDROOM|SINGLE|ONE BEDROOM|SINGLE SATU KAMAR|SINGLE|SATU KAMAR
SGL.B1-2|SGL|B1-2|1|1|1|0|1|SINGLE ONE BEDROOM|SINGLE|ONE BEDROOM|SINGLE SATU KAMAR|SINGLE|SATU KAMAR
SGL.B1-C1|SGL|B1-C1|1|1|1|2|1|SINGLE CAPACITY 1 ONE BEDROOM|SINGLE|CAPACITY 1 ONE BEDROOM|SINGLE KAPASITAS 1 SATU KAMAR|SINGLE|KAPASITAS 1 SATU KAMAR
SGL.B1-CV|SGL|B1-CV|0|1|1|0|1|SINGLE CITY VIEW ONE BEDROOM|SINGLE|CITY VIEW ONE BEDROOM|SINGLE PEMANDANGAN KOTA SATU KAMAR TIDUR|SINGLE|PEMANDANGAN KOTA SATU KAMAR TIDUR
SGL.B1-DX|SGL|B1-DX|0|1|1|0|1|SINGLE DELUXE ONE BEDROOM|SINGLE|DELUXE ONE BEDROOM|SINGLE DELUKS SATU KAMAR TIDUR|SINGLE|DELUKS SATU KAMAR TIDUR
SGL.B1-DX-OV|SGL|B1-DX-OV|1|1|1|0|1|SINGLE DELUXE OCEAN VIEW ONE BEDROOM|SINGLE|DELUXE OCEAN VIEW ONE BEDROOM|SINGLE DELUKS PEMANDANGAN SAMUDRA SATU KAMAR TIDUR|SINGLE|DELUKS PEMANDANGAN SAMUDRA SATU KAMAR TIDUR
SGL.B1-EJ|SGL|B1-EJ|0|1|1|0|1|SINGLE EXECUTIVE ONE BEDROOM|SINGLE|EXECUTIVE ONE BEDROOM|SINGLE EKSEKUTIF SATU KAMAR TIDUR|SINGLE|EKSEKUTIF SATU KAMAR TIDUR
SGL.B1-GV|SGL|B1-GV|0|1|1|0|1|SINGLE GARDEN VIEW ONE BEDROOM|SINGLE|GARDEN VIEW ONE BEDROOM|SINGLE PEMANDANGAN KEBUN SATU KAMAR TIDUR|SINGLE|PEMANDANGAN KEBUN SATU KAMAR TIDUR
SGL.B1-KG|SGL|B1-KG|0|1|1|0|1|SINGLE KING BED ONE BEDROOM |SINGLE|KING BED ONE BEDROOM |SINGLE RANJANG KING SATU KAMAR TIDUR |SINGLE|RANJANG KING SATU KAMAR TIDUR 
SGL.B1-LX|SGL|B1-LX|0|1|1|0|1|SINGLE LUXURY ONE BEDROOM|SINGLE|LUXURY ONE BEDROOM|SINGLE LUKSURI SATU KAMAR TIDUR|SINGLE|LUKSURI SATU KAMAR TIDUR
SGL.B1-OF|SGL|B1-OF|0|1|1|1|1|SINGLE OCEAN FRONT ONE BEDROOM|SINGLE|OCEAN FRONT ONE BEDROOM|SINGLE DEPAN SAMUDRA SATU KAMAR TIDUR|SINGLE|DEPAN SAMUDRA SATU KAMAR TIDUR
SGL.B1-OV|SGL|B1-OV|0|1|1|0|1|SINGLE OCEAN VIEW ONE BEDROOM|SINGLE|OCEAN VIEW ONE BEDROOM|SINGLE PEMANDANGAN SAMUDRA SATU KAMAR TIDUR|SINGLE|PEMANDANGAN SAMUDRA SATU KAMAR TIDUR
SGL.B1-PE|SGL|B1-PE|0|1|1|0|1|SINGLE PREMIER ONE BEDROOM|SINGLE|PREMIER ONE BEDROOM|SINGLE PREMIER SATU KAMAR TIDUR|SINGLE|PREMIER SATU KAMAR TIDUR
SGL.B1-PI|SGL|B1-PI|0|1|1|0|1|SINGLE PREMIUM ONE BEDROOM|SINGLE|PREMIUM ONE BEDROOM|SINGLE PREMIUM SATU KAMAR TIDUR|SINGLE|PREMIUM SATU KAMAR TIDUR
SGL.B1-PO|SGL|B1-PO|0|1|1|0|1|SINGLE PARTIAL OCEAN VIEW ONE BEDROOM|SINGLE|PARTIAL OCEAN VIEW ONE BEDROOM|SINGLE PEMANDANGAN PARSIAL SAMUDRA SATU KAMAR TIDUR|SINGLE|PEMANDANGAN PARSIAL SAMUDRA SATU KAMAR TIDUR
SGL.B1-SU|SGL|B1-SU|0|1|1|0|1|SINGLE SUPERIOR ONE BEDROOM|SINGLE|SUPERIOR ONE BEDROOM|SINGLE SUPERIOR SATU KAMAR TIDUR|SINGLE|SUPERIOR SATU KAMAR TIDUR
SGL.B1-TR|SGL|B1-TR|1|1|1|0|1|SINGLE ONE BEDROOM WITH TERRACE|SINGLE|ONE BEDROOM WITH TERRACE|SINGLE SATU KAMAR DENGAN TERAS|SINGLE|SATU KAMAR DENGAN TERAS
SGL.B1-VM|SGL|B1-VM|1|1|1|0|1|SINGLE SEA VIEW ONE BEDROOM|SINGLE|SEA VIEW ONE BEDROOM|SINGLE PEMANDANGAN LAUT SATU KAMAR TIDUR|SINGLE|PEMANDANGAN LAUT SATU KAMAR TIDUR
SGL.B1-VP|SGL|B1-VP|0|1|1|0|1|SINGLE POOL VIEW ONE BEDROOM|SINGLE|POOL VIEW ONE BEDROOM|SINGLE PEMANDANGAN KOLAM RENANG SATU KAMAR TIDUR|SINGLE|PEMANDANGAN KOLAM RENANG SATU KAMAR TIDUR
SGL.B2|SGL|B2|0|1|1|3|1|SINGLE TWO BEDROOMS|SINGLE|TWO BEDROOMS|SINGLE DUA KAMAR|SINGLE|DUA KAMAR
SGL.B2-1|SGL|B2-1|1|1|1|0|1|SINGLE TWO BEDROOMS|SINGLE|TWO BEDROOMS|SINGLE DUA KAMAR|SINGLE|DUA KAMAR
SGL.B2-BF|SGL|B2-BF|0|1|1|4|1|SINGLE BEACH FRONT TWO BEDROOMS|SINGLE|BEACH FRONT TWO BEDROOMS|SINGLE DEPAN PANTAI DUA KAMAR TIDUR|SINGLE|DEPAN PANTAI DUA KAMAR TIDUR
SGL.B2-C6|SGL|B2-C6|1|1|1|0|1|SINGLE CAPACITY 6 TWO BEDROOMS|SINGLE|CAPACITY 6 TWO BEDROOMS|SINGLE KAPASITAS 6 DUA KAMAR|SINGLE|KAPASITAS 6 DUA KAMAR
SGL.B2-CV|SGL|B2-CV|1|1|1|0|1|SINGLE CITY VIEW TWO BEDROOMS|SINGLE|CITY VIEW TWO BEDROOMS|SINGLE PEMANDANGAN KOTA DUA KAMAR TIDUR|SINGLE|PEMANDANGAN KOTA DUA KAMAR TIDUR
SGL.B2-DX|SGL|B2-DX|0|1|1|1|1|SINGLE DELUXE TWO BEDROOM|SINGLE|DELUXE TWO BEDROOM|SINGLE DELUKS DUA KAMAR TIDUR|SINGLE|DELUKS DUA KAMAR TIDUR
SGL.B2-EJ|SGL|B2-EJ|0|1|1|2|1|SINGLE EXECUTIVE TWO BEDROOMS|SINGLE|EXECUTIVE TWO BEDROOMS|SINGLE EKSEKUTIF DUA KAMAR TIDUR|SINGLE|EKSEKUTIF DUA KAMAR TIDUR
SGL.B2-GV|SGL|B2-GV|0|1|1|7|1|SINGLE GARDEN VIEW TWO BEDROOMS|SINGLE|GARDEN VIEW TWO BEDROOMS|SINGLE PEMANDANGAN KEBUN DUA KAMAR TIDUR|SINGLE|PEMANDANGAN KEBUN DUA KAMAR TIDUR
SGL.B2-KG|SGL|B2-KG|0|1|1|0|1|SINGLE KING BED TWO BEDROOMS|SINGLE|KING BED TWO BEDROOMS|SINGLE RANJANG KING DUA KAMAR TIDUR|SINGLE|RANJANG KING DUA KAMAR TIDUR
SGL.B2-LX|SGL|B2-LX|1|1|1|0|1|SINGLE LUXURY TWO BEDROOMS|SINGLE|LUXURY TWO BEDROOMS|SINGLE LUKSURI DUA KAMAR TIDUR|SINGLE|LUKSURI DUA KAMAR TIDUR
SGL.B2-NM|SGL|B2-NM|0|1|1|0|1|SINGLE TWO BEDROOMS NON SMOKING|SINGLE|TWO BEDROOMS NON SMOKING|SINGLE DUA KAMAR BEBAS-ROKOK|SINGLE|DUA KAMAR BEBAS-ROKOK
SGL.B2-OF|SGL|B2-OF|0|1|1|0|1|SINGLE OCEAN FRONT TWO BEDROOMS|SINGLE|OCEAN FRONT TWO BEDROOMS|SINGLE DEPAN SAMUDRA DUA KAMAR TIDUR|SINGLE|DEPAN SAMUDRA DUA KAMAR TIDUR
SGL.B2-OV|SGL|B2-OV|0|1|1|2|1|SINGLE OCEAN VIEW TWO BEDROOMS|SINGLE|OCEAN VIEW TWO BEDROOMS|SINGLE PEMANDANGAN SAMUDRA DUA KAMAR TIDUR|SINGLE|PEMANDANGAN SAMUDRA DUA KAMAR TIDUR
